Tonga,Gloss,Type,Status,C1,C2,Vowel,Time,F0,minimal,C1.class,C2.class,C1.class.reg,C2.class.reg
ku-mbwit-a,miss,A-H-1,ku-,mbw,t,u,6,163.586029,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,ku-,mbw,t,u,7,164.0212136,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,ku-,mbw,t,u,8,164.4752486,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,ku-,mbw,t,u,9,165.2684726,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,ku-,mbw,t,u,10,166.1170943,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,stem,mbw,t,i,1,169.1386088,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,stem,mbw,t,i,2,170.1831311,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,stem,mbw,t,i,3,171.2276534,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,stem,mbw,t,i,4,172.4691058,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,stem,mbw,t,i,5,173.8625432,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,stem,mbw,t,i,6,175.2885299,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,stem,mbw,t,i,7,176.9421331,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,stem,mbw,t,i,8,178.5945045,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,stem,mbw,t,i,9,180.2410662,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,stem,mbw,t,i,10,181.6885616,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,FV,mbw,t,a,1,188.2213479,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,FV,mbw,t,a,2,192.7156778,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,FV,mbw,t,a,3,195.8317097,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,FV,mbw,t,a,4,197.6038249,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,FV,mbw,t,a,5,198.2110823,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,FV,mbw,t,a,6,198.577497,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,FV,mbw,t,a,7,198.5317215,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,FV,mbw,t,a,8,198.40047,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,FV,mbw,t,a,9,198.2277705,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,FV,mbw,t,a,10,197.5313364,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,ku-,t,p,u,1,143.1322938,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,ku-,t,p,u,2,143.3801389,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,ku-,t,p,u,3,143.6510955,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,ku-,t,p,u,4,144.2170546,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,ku-,t,p,u,5,144.9243634,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,ku-,t,p,u,6,145.8383677,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,ku-,t,p,u,7,146.851405,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
